# m1_detect	m2_detect	luminosity_dustance	cos_theta_jn	s1z	s2z
3.903738037493123159e+01 3.704456307532719705e+01 5.171767174209034010e+02 -9.766332223937974621e-01 -1.170615068214966442e-01 3.504396184220174293e-01
3.462009593407463370e+01 3.418441607006905514e+01 4.016268641398789896e+02 -7.004037305087893461e-01 -9.520551571639744581e-02 -8.140611367910317864e-02
3.789434276354977982e+01 3.397052028248149469e+01 3.695790712902825135e+02 -8.407518549310876166e-01 3.775530050975951513e-01 -4.734969061667386736e-01
3.641297333218379606e+01 3.568446263758229975e+01 3.869352677352346177e+02 -5.836566195922735512e-01 2.748998824673588512e-02 -6.800890082163309203e-02
3.947725100176687363e+01 3.164500808055790415e+01 3.451043454572957216e+02 -9.282706664668088914e-01 -2.241672677631602884e-01 2.337835880555473034e-01
4.005386414995157907e+01 3.199159792397905733e+01 3.122665267286628250e+02 -8.615166955578040797e-01 -9.457665680833954314e-02 1.357039044587814713e-01
4.130281721621272339e+01 3.251016302847525452e+01 4.827020407899726706e+02 -9.930565436200071705e-01 4.077331054291457452e-02 -6.154144141350853178e-03
3.862233516200699057e+01 3.675812182747680623e+01 4.736651722804904807e+02 -9.516615044051304206e-01 -3.377673632849790275e-01 4.811393400815481280e-01
4.152043747600598778e+01 2.839739004844827619e+01 4.690996797739983890e+02 -8.963200088223978179e-01 -2.459800795376266072e-02 -3.038008069478540518e-01
3.800523656607400369e+01 3.622752646333484705e+01 5.569906371366873827e+02 -9.639319274782847113e-01 2.880712449064246061e-01 -1.569127456260771269e-01
3.712225038405854605e+01 3.608351522577465431e+01 5.003689209966214548e+02 -8.205695133246861950e-01 -2.451645437188112175e-01 2.708676811125889650e-01
3.845926049448423356e+01 3.179999462723960235e+01 3.934923939479821229e+02 -6.743180389153805576e-01 -1.117796671651228669e-03 -1.704996359226023384e-01
4.407623015319229154e+01 2.920175664435792129e+01 4.200665181523238516e+02 -6.501137617866397100e-01 6.938538416532903652e-02 -1.114569829404109674e-01
3.864547514811832940e+01 3.239851184324336941e+01 4.686484985263953149e+02 -9.334964558151104264e-01 -1.326323073285402073e-04 -7.678867966534602685e-02
3.787457676427433029e+01 3.650904791300737173e+01 5.071406974324119687e+02 -9.060771022675927489e-01 2.918141009916087047e-01 -2.241532776940088068e-01
3.635749258466683642e+01 3.368794907378968873e+01 3.777659089273457766e+02 -8.848676630432606993e-01 -2.610757553256911612e-01 1.575858593255575479e-01
3.596556479970044506e+01 3.420540014182036970e+01 3.940884889837633978e+02 -7.671349641308333744e-01 -4.821063177124069316e-02 -9.270453373034891198e-02
