# m1_detect	m2_detect	luminosity_dustance	cos_theta_jn	s1z	s2z
4.787085284027253351e+01 2.780913286202571655e+01 1.063470317061561445e+03 9.817544818667084394e-01 2.791559131645876546e-01 -3.272743894089822914e-01
4.598433744912951227e+01 2.870200879343360612e+01 6.954894238669676270e+02 6.059632450488967592e-01 -6.051538974754921280e-02 3.503584659948296709e-01
5.255883586375676231e+01 2.946305478717812676e+01 1.259616830423317197e+03 8.479596236998832026e-01 2.941285569910711550e-01 1.376083123420886178e-01
3.874089403299348078e+01 3.617995417591389895e+01 1.101721684513362334e+03 9.124143500082253500e-01 1.713300938825733019e-02 2.657810575718327351e-01
3.808747982391070508e+01 3.508582100496685996e+01 8.896320158989108222e+02 8.037751539499722320e-01 2.716298140411306794e-01 -1.977674471373118414e-01
3.986023473196402733e+01 3.654322638897510700e+01 1.194039499408729853e+03 9.105308689365257946e-01 -3.677523889553077630e-02 4.433619016882708319e-01
3.956048189964027983e+01 3.900966426285852151e+01 1.273767133844886303e+03 8.588180160724631085e-01 -7.212856271482491477e-02 4.632537257114504592e-01
3.887704389185208242e+01 3.485726824866721785e+01 1.123240764673033027e+03 9.322175540775857749e-01 2.406254950551042215e-01 -1.101068076341595037e-01
4.053952096005515671e+01 3.577875520205915194e+01 8.615808157626415777e+02 6.750671547508364512e-01 4.684879379891671719e-02 3.375012557814923708e-01
4.433219238112823746e+01 3.039910957380920919e+01 9.741436169378589511e+02 7.342873176010611402e-01 2.481816003111900759e-01 -1.109316560974228649e-01
5.161434449632185562e+01 2.269586063938068676e+01 9.063171878650108511e+02 9.539090489576612653e-01 -3.912741295065728930e-02 -5.200690921552397067e-02
4.414595497741875363e+01 3.140545171965429461e+01 1.130432746947959458e+03 8.415811346718142794e-01 -8.655548282771957647e-02 5.028623247452927991e-01
3.950893080100117061e+01 3.379792916116127799e+01 1.142464073291623208e+03 9.529573823812268474e-01 -9.608311338957349623e-02 2.556683521142444349e-01
4.296771921933050464e+01 3.125139458226263756e+01 7.137499277449979900e+02 5.980113762518375342e-01 2.075802708194082191e-01 -2.013326595881606909e-02
4.050694810953468306e+01 3.689042397630592518e+01 1.262838906122741946e+03 9.625728841568189642e-01 -2.748341379905519521e-01 6.961850612703004426e-01
4.146182010181729538e+01 3.131861342073526799e+01 1.113423174986498907e+03 9.874949687485488070e-01 1.024063756163616085e-01 -2.082700782484341734e-02
4.373335521069218146e+01 3.329232967899096707e+01 1.122928813571537830e+03 7.886552638182059427e-01 8.827277754733026116e-02 2.193759607816521962e-01
4.111807233855538612e+01 3.314233249079502741e+01 1.297000570089836629e+03 9.843799681885201380e-01 2.042269140886297241e-01 -5.630849035840469752e-02
3.649136931660330418e+01 3.556806303943757541e+01 1.100554968943491076e+03 9.199687112389226540e-01 1.413676090555351650e-01 -5.417319411742085172e-02
3.937286248693436619e+01 3.723745476531036047e+01 1.161887321710885089e+03 9.796942526550754815e-01 -7.250296436453833315e-02 5.078587013945158324e-01
3.897656258494524195e+01 3.614484304281605631e+01 1.086229936190010221e+03 8.460881412102205790e-01 6.640008043962802864e-01 -4.535009888520781796e-01
4.062323777017156345e+01 3.684534222299090800e+01 1.209135463486099070e+03 8.505520231231959993e-01 3.680234938464133077e-01 1.657704349923542911e-03
5.271978222493324751e+01 2.401461007076934706e+01 1.039598331516979215e+03 8.696586058262542052e-01 2.202228870823304818e-01 -4.480808182957585761e-01
3.906118605956197598e+01 3.501451034084158209e+01 1.092881191580431278e+03 8.435276414840886527e-01 6.415434246474664981e-01 -5.470952626359775195e-01
3.938493659987605611e+01 3.775686689380926708e+01 5.733644728810106699e+02 4.232108080471761458e-01 4.001376668769847100e-01 8.378858342280519345e-02
4.237338074350228112e+01 3.447688414056454320e+01 1.072288063087194587e+03 9.097692648021746820e-01 -2.455199268524510814e-01 7.666581336089148824e-01
3.877182187189057316e+01 3.377737330547956418e+01 9.161257453399053929e+02 6.821138701706934704e-01 4.190064549946820871e-01 -3.905058336975773536e-01
4.657387114969855446e+01 3.069160221087298979e+01 8.826630229485555219e+02 6.119906772370086179e-01 1.312866064859788684e-01 7.463894648075324045e-02
3.713672981261281336e+01 3.007992138615556854e+01 8.809308216041836204e+02 9.575484897001520501e-01 -6.160819355334222758e-01 4.884936041688752173e-01
4.899303833857578638e+01 2.570774312921186677e+01 1.021817039829304804e+03 9.433104969462389189e-01 -1.231539433145399098e-01 4.357972653925479278e-01
4.791176673700744004e+01 2.961438599966247409e+01 9.814582076978530267e+02 7.570618796952821583e-01 3.016814627250825609e-01 -2.023315261147046185e-01
4.284264996494574262e+01 3.265456705518587199e+01 8.255278822459472394e+02 6.743231440504448004e-01 1.920094930025501023e-01 1.724428940933179014e-02
5.111394628339181168e+01 2.730830435888682572e+01 1.068219947392866516e+03 9.175983021762783576e-01 2.156724492931089421e-01 2.158814667208925828e-02
4.906801663126751123e+01 3.340948599571033384e+01 1.306862259945359938e+03 9.899396896815623181e-01 6.232294629837159539e-01 -3.076053945978960980e-01
4.970477419418239151e+01 2.588232094987783682e+01 1.025403364980711558e+03 9.485537963537120643e-01 -1.183903935426650483e-01 6.272952684207984131e-01
3.892959421782967411e+01 3.591777370735143649e+01 1.134590005420999205e+03 9.763111270779980533e-01 -1.925919890401381618e-01 4.809858316599852635e-01
3.935473736995589178e+01 3.521666803227676468e+01 9.968584420776830939e+02 7.931670796587972916e-01 8.210569303504396954e-01 -7.634230220803310818e-01
3.869079591712213784e+01 3.448509328960791720e+01 5.859609334980330004e+02 5.158998240360065379e-01 -1.076747551598993546e-01 3.160108073133173767e-01
